Run,Program Version,Time Started (UTC),Minutes Spent,Position,Points,How satisfied are you with life as a whole these days? (ql4c1ak),How enjoyable is your life as a whole these days? (dzyh760),age,device,gender,employed,education,projectID,startedAt,computerID,creditScore,assignmentID,ethnicityUsa,religiousness,yearOfBirth,participantID,educationScore,ethnicityWhite,politicalViews,computerCountry,filedBankruptcy,householdIncome,socialMediaUse,employmentStatus,femaleAs1MaleAs0,outcomeCreditScore,politicalLiberalness,filedBankruptcyScore,householdIncomeScore,overallPhysicalHealth,outcomeSocialMediaUse,householdIncomeEstimate,outcomeKnowsCreditScore,outcomeReligiousness0To5,outcomeRelationshipLongTerm,mostRecentMentalHealthDiagnosis,outcomeOverallPhysicalHealth,everDiagnosedMentalHealthDisorder,ethnicityNative,outcomeRelationshipNone,"Imagine I gave you a ""REPLAY YESTERDAY"" button. When pressed, this button would cause you to be instantly transported back in time to yesterday morning. You would live the day again exactly the same as you did the first time. You would have no recollection of pressing the button. *Would you press this button to replay yesterday?* (6jkjlca)",ethnicityBlack,"Imagine I gave you a ""SKIP TOMORROW"" button. When pressed, this button would cause you to be instantly transported 24 hours into the future. You still do all the things you would normally do (so nobody else can tell any difference), and remember the day normally, you just don't experience it. Afterwards, you forget you pressed the button. *Would you press this button to skip tomorrow?* (5jpyee3)",buttontext,finished,project_id,assignment_id,participant_id,url,ethnicityOther,ethnicityAsian,ethnicityLatino,outcomeRelationshipJustStarted
9457807,3,2023-01-26 18:41:26,0.5,rl4pf73,0,6,6,33,desktop,male,1,completedBachelorsDegree,pbbfdbc42,2023/01/26 10:40 AM,212c26d6ef2e9e6810df18f63147901a84f918fe,I do not remember my FICO credit score,pa096f963,"White, Caucasian or European",Not at all religious,1989,p07387df6,5,1,Liberal,United States,no,"$40,000 to $59,999",about an hour,Full-time work,0,300,1,0,3,Average,45,50000,0,0,,depression,0,1,,1,No,,No,Click to finish and give feedback,1,pbbfdbc42,pa096f963,p07387df6,https://app.positly.com/#/f?task_id=pbbfdbc42,,,,
9457808,3,2023-01-26 18:41:24,0.83,rl4pf73,0,7,7,36,desktop,male,1,completedBachelorsDegree,pbbfdbc42,2023/01/26 10:39 AM,925c38fbc2b939e1663030667d2d3722b1af284d,Fair: 580 - 669,pc85e9baf,"White, Caucasian or European",Moderately religious,1987,pc9c40a7e,5,1,Liberal,United States,yes,"$40,000 to $59,999",less than 30 minutes,Full-time work,0,580,1,1,3,A little below average,15,50000,1,3,1,anxiety,-1,1,,,Yes,,No,Click to finish and give feedback,1,pbbfdbc42,pc85e9baf,pc9c40a7e,https://app.positly.com/#/f?task_id=pbbfdbc42,,,,
9457811,3,2023-01-26 18:41:42,0.58,rl4pf73,0,8,9,27,desktop,male,1,completedAssociateDegreeOnly,pbbfdbc42,2023/01/26 10:40 AM,039736df7282e6f0e39ae8d09dd542453047133b,Good: 670 - 739,pbabcc091,American Indian or Alaska Native,Very religious,1995,pd11e8d3d,4,,Very liberal,United States,no,"$85,000 to $114,999",up to 3 hours,Full-time work,0,670,2,0,5,Above average,90,100000,1,4,1,none,2,0,1,,Yes,,No,Click to finish and give feedback,1,pbbfdbc42,pbabcc091,pd11e8d3d,https://app.positly.com/#/f?task_id=pbbfdbc42,,,,
9457812,3,2023-01-26 18:41:59,0.48,rl4pf73,0,8,8,29,desktop,female,1,completedBachelorsDegree,pbbfdbc42,2023/01/26 10:41 AM,a050b72f9036b166003d96fa13a876b09e421acc,Exceptional: 800 - 850,pc03a1c63,"Some other race, ethnicity or origin",Not at all religious,1993,p870e08b2,5,,Very liberal,United States,no,"$60,000 to $84,999",about an hour,Own business / Self-employed,1,800,2,0,4,Above average,45,72500,1,0,1,none,2,0,,,No,,No,Click to finish and give feedback,1,pbbfdbc42,pc03a1c63,p870e08b2,https://app.positly.com/#/f?task_id=pbbfdbc42,1,,,
9457813,3,2023-01-26 18:41:59,0.8,rl4pf73,0,1,1,44,desktop,male,0,completedBachelorsDegree,pbbfdbc42,2023/01/26 10:40 AM,ebffccb5aa71931e1c1023f5921f80a726e20334,Exceptional: 800 - 850,pcf5fb6bd,"White, Caucasian or European",Very religious,1978,p49c1a064,5,1,Very conservative,United States,no,"$10,000 to $24,999",less than 30 minutes,Unemployed,0,800,-2,0,1,A little below average,15,17500,1,4,,personalityDisorder,-1,1,,1,No,,Yes,Click to finish and give feedback,1,pbbfdbc42,pcf5fb6bd,p49c1a064,https://app.positly.com/#/f?task_id=pbbfdbc42,,,,
9457814,3,2023-01-26 18:42:03,0.63,rl4pf73,0,7,7,35,desktop,male,1,completedBachelorsDegree,pbbfdbc42,2023/01/26 10:41 AM,2ec23638f7c34c6707e10421c70b1f29dce2c94d,Exceptional: 800 - 850,pfd6a0948,"Asian (e.g. Chinese, Indian)",Slightly religious,1988,pb08dbb9d,5,,Moderate,United States,no,"$115,000 to $149,999",about an hour,Full-time work,0,800,0,0,6,Average,45,132500,1,1,1,none,0,0,,,No,,No,Click to finish and give feedback,1,pbbfdbc42,pfd6a0948,pb08dbb9d,https://app.positly.com/#/f?task_id=pbbfdbc42,,1,,
9457815,3,2023-01-26 18:42:07,0.65,rl4pf73,0,7,7,33,desktop,male,1,completedOnlyHighSchoolOrTheEquivalent,pbbfdbc42,2023/01/26 10:40 AM,3c1e234360fbbcbc3d04ecee9fd281e8c8c12583,Very Good: 740 - 799,pb2f47b71,"White, Caucasian or European",Not at all religious,1990,p48cc3ba4,2,1,Liberal,United States,no,"$40,000 to $59,999",about an hour,Full-time work,0,740,1,0,3,A little above average,45,50000,1,0,,none,1,0,,1,No,,No,Click to finish and give feedback,1,pbbfdbc42,pb2f47b71,p48cc3ba4,https://app.positly.com/#/f?task_id=pbbfdbc42,,,,
9457816,3,2023-01-26 18:42:18,0.47,rl4pf73,0,6,6,47,desktop,female,1,completedTradeTechicalVocationalTraing,pbbfdbc42,2023/01/26 10:40 AM,4153342f78ef44599ca82ca4b15f6e4c0ab0082b,I do not remember my FICO credit score,pf5f3201b,"White, Caucasian or European",Slightly religious,1975,p5116f10f,3,1,Very liberal,United States,no,"$25,000 to $39,999",more than 3 hours,Full-time work,1,300,2,0,2,A little below average,180,32500,0,1,,none,-1,0,,1,No,,No,Click to finish and give feedback,1,pbbfdbc42,pf5f3201b,p5116f10f,https://app.positly.com/#/f?task_id=pbbfdbc42,,,,
9457817,3,2023-01-26 18:42:17,1.05,rl4pf73,0,7,6,54,desktop,female,1,completedBachelorsDegree,pbbfdbc42,2023/01/26 10:42 AM,c33764432f010c6a2484e5b1a4ba704b3b2ae29f,Exceptional: 800 - 850,paa6f85ee,"Asian (e.g. Chinese, Indian)",Not at all religious,1968,p3fc21dcd,5,,Moderate,United States,no,"$60,000 to $84,999",less than 30 minutes,Other type of paid work,1,800,0,0,4,Above average,15,72500,1,0,1,none,2,0,,,No,,No,Click to finish and give feedback,1,pbbfdbc42,paa6f85ee,p3fc21dcd,https://app.positly.com/#/f?task_id=pbbfdbc42,,1,,
9457818,3,2023-01-26 18:42:22,0.27,rl4pf73,0,8,8,40,desktop,female,1,completedBachelorsDegree,pbbfdbc42,2023/01/26 10:42 AM,a604b6f4dc9623a2499ef10642d782a5bc3aabc5,Good: 670 - 739,pf3246f16,"White, Caucasian or European",Moderately religious,1982,pf5d9e701,5,1,Conservative,United States,yes,"$40,000 to $59,999",up to 3 hours,Full-time work,1,670,-1,1,3,Average,90,50000,1,3,,depression,0,1,,1,No,,No,Click to finish and give feedback,1,pbbfdbc42,pf3246f16,pf5d9e701,https://app.positly.com/#/f?task_id=pbbfdbc42,,,,
9457828,3,2023-01-26 18:43:31,0.47,rl4pf73,0,10,10,31,desktop,male,1,completedOnlyHighSchoolOrTheEquivalent,pbbfdbc42,2023/01/26 10:43 AM,7f6426242e92fbfb5aba98e7e9545be1fbb04877,Fair: 580 - 669,pdbea2478,"Latino, Hispanic or Spanish origin",Not at all religious,1991,p18c27c8b,2,,Moderate,United States,no,"$25,000 to $39,999",more than 3 hours,Full-time work,0,580,0,0,2,Far above average,180,32500,1,0,,none,3,0,,1,No,,No,Click to finish and give feedback,1,pbbfdbc42,pdbea2478,p18c27c8b,https://app.positly.com/#/f?task_id=pbbfdbc42,,,1,
9457831,3,2023-01-26 18:43:39,0.95,rl4pf73,0,8,8,65,desktop,female,0,completedOnlyHighSchoolOrTheEquivalent,pbbfdbc42,2023/01/26 10:40 AM,9cf470582701863bb47d402ea7b64f0803e5c08b,I do not remember my FICO credit score,pf975fcc6,"White, Caucasian or European",Moderately religious,1958,pa6986634,2,1,Liberal,United States,no,"$40,000 to $59,999",more than 3 hours,Retired,1,300,1,0,3,Average,180,50000,0,3,1,none,0,0,,,No,,No,Click to finish and give feedback,1,pbbfdbc42,pf975fcc6,pa6986634,https://app.positly.com/#/f?task_id=pbbfdbc42,,,,
9457836,3,2023-01-26 18:44:37,0.32,rl4pf73,0,0,1,28,desktop,female,1,completedAssociateDegreeOnly,pbbfdbc42,2023/01/26 10:43 AM,7c89ed754c7b8de3e427e9602b069d0b51a7c42b,Good: 670 - 739,pdcd2f411,"White, Caucasian or European",Not at all religious,1995,pb8170816,4,1,Liberal,United States,no,"$10,000 to $24,999",about an hour,Own business / Self-employed,1,670,1,0,1,Average,45,17500,1,0,,anxiety,0,1,,1,No,,Yes,Click to finish and give feedback,1,pbbfdbc42,pdcd2f411,pb8170816,https://app.positly.com/#/f?task_id=pbbfdbc42,,,,
9457837,3,2023-01-26 18:44:39,0.42,rl4pf73,0,8,6,54,desktop,male,1,completedAssociateDegreeOnly,pbbfdbc42,2023/01/26 10:44 AM,86415c98052b8561cd5312625e48ebe06dc1882e,Good: 670 - 739,pd700cc1b,"White, Caucasian or European",Slightly religious,1968,pea0d0931,4,1,Liberal,United States,no,"$60,000 to $84,999",about an hour,Full-time work,0,670,1,0,4,A little above average,45,72500,1,1,1,none,1,0,,,Yes,,No,Click to finish and give feedback,1,pbbfdbc42,pd700cc1b,pea0d0931,https://app.positly.com/#/f?task_id=pbbfdbc42,,,,
9457839,3,2023-01-26 18:44:45,0.38,rl4pf73,0,8,7,44,desktop,male,1,completedProfessionalDegree,pbbfdbc42,2023/01/26 10:40 AM,3e7338ef137fc15fd2768875dbbf3eb50328d914,Fair: 580 - 669,pf1f44bdf,"White, Caucasian or European",Slightly religious,1978,pf3680f9b,7,1,Very conservative,United States,no,"$60,000 to $84,999",less than 30 minutes,Full-time work,0,580,-2,0,4,Average,15,72500,1,1,1,none,0,0,,,No,,No,Click to finish and give feedback,1,pbbfdbc42,pf1f44bdf,pf3680f9b,https://app.positly.com/#/f?task_id=pbbfdbc42,,,,
9457843,3,2023-01-26 18:45:24,0.28,rl4pf73,0,9,8,32,desktop,male,1,completedBachelorsDegree,pbbfdbc42,2023/01/26 10:45 AM,d5f914b8541a6525c711311fe40c8df3170e5295,Very Good: 740 - 799,pabd24df5,"White, Caucasian or European",Not at all religious,1990,p9693b7c0,5,1,Very liberal,United States,no,"$25,000 to $39,999",about an hour,Full-time work,0,740,2,0,2,Far above average,45,32500,1,0,1,none,3,0,,,No,,No,Click to finish and give feedback,1,pbbfdbc42,pabd24df5,p9693b7c0,https://app.positly.com/#/f?task_id=pbbfdbc42,,,,
9457844,3,2023-01-26 18:45:29,0.27,rl4pf73,0,9,10,36,desktop,male,1,completedAssociateDegreeOnly,pbbfdbc42,2023/01/26 10:44 AM,ca5d55734665630109f0fcc427e720e1b2e7bd77,Good: 670 - 739,pc8368c0e,"White, Caucasian or European",Moderately religious,1987,pcb6c467e,4,1,Conservative,United States,no,"$40,000 to $59,999",about an hour,Full-time work,0,670,-1,0,3,A little above average,45,50000,1,3,1,depression,1,1,,,Yes,,No,Click to finish and give feedback,1,pbbfdbc42,pc8368c0e,pcb6c467e,https://app.positly.com/#/f?task_id=pbbfdbc42,,,,
9457845,3,2023-01-26 18:45:38,0.37,rl4pf73,0,7,7,30,desktop,male,1,completedOnlyHighSchoolOrTheEquivalent,pbbfdbc42,2023/01/26 10:45 AM,5d263d33e010a2c973e32aec47aa84b0b8e12636,Very Poor: 300 - 579,pa725bcd7,"White, Caucasian or European",Not at all religious,1992,pb361fd8d,2,1,Very liberal,United States,no,"$25,000 to $39,999",less than 30 minutes,Full-time work,0,300,2,0,2,A little above average,15,32500,1,0,,none,1,0,,1,No,,Yes,Click to finish and give feedback,1,pbbfdbc42,pa725bcd7,pb361fd8d,https://app.positly.com/#/f?task_id=pbbfdbc42,,,,
9457850,3,2023-01-26 18:46:17,0.35,rl4pf73,0,2,3,27,desktop,male,1,completedMastersDegree,pbbfdbc42,2023/01/26 10:45 AM,befc30e8dfe9083da4d242ed09c0b1fa7f20b89a,Good: 670 - 739,pf3459fbd,"White, Caucasian or European",Moderately religious,1995,pfe335d77,6,1,Conservative,United States,no,"$25,000 to $39,999",about an hour,Full-time work,0,670,-1,0,2,Above average,45,32500,1,3,1,none,2,0,,,Yes,,No,Click to finish and give feedback,1,pbbfdbc42,pf3459fbd,pfe335d77,https://app.positly.com/#/f?task_id=pbbfdbc42,,,,
9457856,3,2023-01-26 18:46:55,0.58,rl4pf73,0,4,4,39,desktop,male,1,completedAssociateDegreeOnly,pbbfdbc42,2023/01/26 10:46 AM,7a54ffd5567ee512bd4a5232adcce1e45ef0264b,I do not remember my FICO credit score,pc0f92c69,"Some other race, ethnicity or origin",Not at all religious,1984,p3f338429,4,,Moderate,United States,no,"$40,000 to $59,999",about an hour,Full-time work,0,300,0,0,3,Average,45,50000,0,0,,none,0,0,,1,No,,No,Click to finish and give feedback,1,pbbfdbc42,pc0f92c69,p3f338429,https://app.positly.com/#/f?task_id=pbbfdbc42,1,,,
9457857,3,2023-01-26 18:46:56,0.67,rl4pf73,0,8,8,32,desktop,male,1,completedBachelorsDegree,pbbfdbc42,2023/01/26 10:46 AM,39e23e57e18f97f43e36dc24f60395f4cecd4264,Very Good: 740 - 799,pb12e73d5,"White, Caucasian or European",Slightly religious,1990,ped6bc9d0,5,1,Conservative,United States,no,"$40,000 to $59,999",about an hour,Full-time work,0,740,-1,0,3,Above average,45,50000,1,1,1,none,2,0,,,Yes,,No,Click to finish and give feedback,1,pbbfdbc42,pb12e73d5,ped6bc9d0,https://app.positly.com/#/f?task_id=pbbfdbc42,,,,
9457858,3,2023-01-26 18:47:08,1.67,rl4pf73,0,9,9,27,desktop,female,1,completedBachelorsDegree,pbbfdbc42,2023/01/26 10:46 AM,6cee8026592126012f233e986b9347be696cb3b2,Good: 670 - 739,pf7012327,"White, Caucasian or European",Moderately religious,1995,pa51ba0f3,5,1,Conservative,United States,no,"$40,000 to $59,999",about an hour,Full-time work,1,670,-1,0,3,Above average,45,50000,1,3,1,none,2,0,,,Yes,,Yes,Click to finish and give feedback,1,pbbfdbc42,pf7012327,pa51ba0f3,https://app.positly.com/#/f?task_id=pbbfdbc42,,,,
9457860,3,2023-01-26 18:47:21,0.58,rl4pf73,0,2,2,34,desktop,female,1,completedOnlyHighSchoolOrTheEquivalent,pbbfdbc42,2023/01/26 10:47 AM,411195d988f329c27421ce304eeb7801dde45380,Fair: 580 - 669,pa26e9ccf,"White, Caucasian or European",Not at all religious,1988,pe37d29cd,2,1,Very liberal,United States,no,"$40,000 to $59,999",up to 3 hours,Full-time work,1,580,2,0,3,A little above average,90,50000,1,0,1,anxiety,1,1,,,No,,No,Click to finish and give feedback,1,pbbfdbc42,pa26e9ccf,pe37d29cd,https://app.positly.com/#/f?task_id=pbbfdbc42,,,,
9457862,3,2023-01-26 18:47:32,0.7,rl4pf73,0,7,8,44,desktop,female,1,completedBachelorsDegree,pbbfdbc42,2023/01/26 10:47 AM,1189b54eb9a508759b9f3d8448faa9bd4f3f5a02,I do not remember my FICO credit score,pb9c310d8,"Latino, Hispanic or Spanish origin",Not at all religious,1978,pd20108f3,5,,Liberal,United States,no,"$60,000 to $84,999",about an hour,Full-time work,1,300,1,0,4,A little above average,45,72500,0,0,,none,1,0,,1,No,,No,Click to finish and give feedback,1,pbbfdbc42,pb9c310d8,pd20108f3,https://app.positly.com/#/f?task_id=pbbfdbc42,,,1,
9457871,3,2023-01-26 18:48:06,0.53,rl4pf73,0,3,7,31,desktop,female,1,completedAssociateDegreeOnly,pbbfdbc42,2023/01/26 10:47 AM,a064d4c6770303ff32f38d7bc46524c641f31e99,Good: 670 - 739,pfc08822c,"White, Caucasian or European",Very religious,1991,p7875582a,4,1,Moderate,United States,no,"$10,000 to $24,999",about an hour,Full-time work,1,670,0,0,1,Average,45,17500,1,4,1,none,0,0,,,No,,Yes,Click to finish and give feedback,1,pbbfdbc42,pfc08822c,p7875582a,https://app.positly.com/#/f?task_id=pbbfdbc42,,,,
9457872,3,2023-01-26 18:48:14,0.48,rl4pf73,0,4,4,34,desktop,male,1,completedOnlyHighSchoolOrTheEquivalent,pbbfdbc42,2023/01/26 10:46 AM,9002dbb841e38b30a4d28b3d03fdeb35e5481244,Very Good: 740 - 799,pa3e59d18,"White, Caucasian or European",Not at all religious,1988,p8f27955c,2,1,Moderate,United States,no,"$25,000 to $39,999",about an hour,Full-time work,0,740,0,0,2,Above average,45,32500,1,0,,none,2,0,,1,Yes,,Yes,Click to finish and give feedback,1,pbbfdbc42,pa3e59d18,p8f27955c,https://app.positly.com/#/f?task_id=pbbfdbc42,,,,
9457873,3,2023-01-26 18:48:16,0.67,rl4pf73,0,8,7,29,desktop,female,0,completedTradeTechicalVocationalTraing,pbbfdbc42,2023/01/26 10:46 AM,5ad2181c460df9ab0a16bd538b2d6c9e4604c058,Good: 670 - 739,pc5747331,"Some other race, ethnicity or origin",Not at all religious,1994,pb059923f,3,,Liberal,United States,no,"$60,000 to $84,999",up to 3 hours,Unemployed,1,670,1,0,4,Average,90,72500,1,0,1,none,0,0,,,No,,No,Click to finish and give feedback,1,pbbfdbc42,pc5747331,pb059923f,https://app.positly.com/#/f?task_id=pbbfdbc42,1,,,
9457874,3,2023-01-26 18:48:27,0.3,rl4pf73,0,0,0,37,desktop,male,1,completedTradeTechicalVocationalTraing,pbbfdbc42,2023/01/26 10:48 AM,7736f3d9e000059938ddd3025bd57d6a3550fb0a,I do not have a FICO credit score,pb0884fae,"Asian (e.g. Chinese, Indian)",Slightly religious,1986,p0757e127,3,,Liberal,United States,no,"$40,000 to $59,999",more than 3 hours,Own business / Self-employed,0,-1,1,0,3,A little below average,180,50000,1,1,,none,-1,0,,1,No,,No,Click to finish and give feedback,1,pbbfdbc42,pb0884fae,p0757e127,https://app.positly.com/#/f?task_id=pbbfdbc42,,1,,
9457875,3,2023-01-26 18:48:32,0.33,rl4pf73,0,9,9,54,desktop,female,0,completedBachelorsDegree,pbbfdbc42,2023/01/26 10:48 AM,288ed65effe9e29492bf36c50c6ebc33c0e1228c,Exceptional: 800 - 850,pad76b242,"White, Caucasian or European",Slightly religious,1969,p61d55173,5,1,Liberal,United States,no,"$40,000 to $59,999",about an hour,Retired,1,800,1,0,3,A little above average,45,50000,1,1,,anxiety,1,1,,1,Yes,,Yes,Click to finish and give feedback,1,pbbfdbc42,pad76b242,p61d55173,https://app.positly.com/#/f?task_id=pbbfdbc42,,,,
9457881,3,2023-01-26 18:49:51,0.37,rl4pf73,0,3,4,39,desktop,male,1,completedOnlyHighSchoolOrTheEquivalent,pbbfdbc42,2023/01/26 10:49 AM,7a43b8c147d7405c76edcbc7ad61594bfe6d5bc2,Very Poor: 300 - 579,pc2783367,"White, Caucasian or European",Extremely religious,1983,p1dffd635,2,1,Moderate,United States,no,"$40,000 to $59,999",about an hour,Own business / Self-employed,0,300,0,0,3,Average,45,50000,1,5,,none,0,0,,1,No,,No,Click to finish and give feedback,1,pbbfdbc42,pc2783367,p1dffd635,https://app.positly.com/#/f?task_id=pbbfdbc42,,,,
