Run,Program Version,Time Started (UTC),Minutes Spent,Position,Points,Randomize (u8cc59f),How enjoyable is your life as a whole these days? (dzyh760),How satisfied are you with life as a whole these days? (ql4c1ak),"Imagine I gave you a ""SKIP TODAY"" button. When pressed, this button would cause you to be instantly transported 24 hours into the future. You still do all the things you would normally do, and remember the day normally, you just don't experience it. In a typical week how many times would you use the button? (55qcu1j)",buttontext,finished,project_id,url,age,device,gender,education,projectID,startedAt,computerID,assignmentID,yearOfBirth,participantID,educationScore,computerCountry,householdIncome,femaleAs1MaleAs0,householdIncomeScore,householdIncomeEstimate,assignment_id,participant_id
7027732,6,2022-02-01 17:40:54,0.2,rl4pf73,0,"q8q6d40,79aq97l,okhcw2j",6,5,5,Click to finish and give feedback,1,3f66609b,https://app.positly.com/#/f?task_id=3f66609b,27,desktop,male,completedBachelorsDegree,3f66609b,2022/02/01 09:40 AM,9c18044a2afe8352a0a0d51db0a87f99b26c9b3d,ccd5aabf,1994,ee83be06,5,United States,"$60,000 to $84,999",0,4,72500,ccd5aabf,ee83be06
7027777,6,2022-02-01 17:49:06,1.07,rl4pf73,0,"q8q6d40,okhcw2j,79aq97l",8,8,5,Click to finish and give feedback,1,3f66609b,https://app.positly.com/#/f?task_id=3f66609b,45,desktop,male,completedBachelorsDegree,3f66609b,2022/02/01 09:47 AM,c2184f7270d28d5dc20043af6be8943acebd24be,476f27ee,1977,1613a089,5,United States,"$60,000 to $84,999",0,4,72500,476f27ee,1613a089
7027813,6,2022-02-01 17:59:01,0.37,rl4pf73,0,"79aq97l,q8q6d40,okhcw2j",3,4,2,Click to finish and give feedback,1,3f66609b,https://app.positly.com/#/f?task_id=3f66609b,27,desktop,female,completedOnlyHighSchoolOrTheEquivalent,3f66609b,2022/02/01 09:58 AM,d68f7821eea5e8d37e00045329f85015f0a81b22,2712447f,1995,27aaa5eb,2,United States,"$10,000 to $24,999",1,1,17500,2712447f,27aaa5eb
7027815,6,2022-02-01 17:59:09,0.53,rl4pf73,0,"q8q6d40,okhcw2j,79aq97l",5,6,3,Click to finish and give feedback,1,3f66609b,https://app.positly.com/#/f?task_id=3f66609b,33,desktop,male,completedOnlyHighSchoolOrTheEquivalent,3f66609b,2022/02/01 09:58 AM,10eae79f0b79336c37cb532685d8bb88a967521c,dd87a75f,1988,8f27955c,2,United States,"$25,000 to $39,999",0,2,32500,dd87a75f,8f27955c
7027816,6,2022-02-01 17:59:13,0.38,rl4pf73,0,"okhcw2j,q8q6d40,79aq97l",7,7,2,Click to finish and give feedback,1,3f66609b,https://app.positly.com/#/f?task_id=3f66609b,37,desktop,male,completedOnlyHighSchoolOrTheEquivalent,3f66609b,2022/02/01 09:58 AM,dd6eb235fd83c42b2a871c94a22772c62d1525d8,e47f1df2,1984,11147bf6,2,United States,"$25,000 to $39,999",0,2,32500,e47f1df2,11147bf6
7027817,6,2022-02-01 17:59:13,0.42,rl4pf73,0,"79aq97l,okhcw2j,q8q6d40",3,3,2,Click to finish and give feedback,1,3f66609b,https://app.positly.com/#/f?task_id=3f66609b,29,desktop,male,completedBachelorsDegree,3f66609b,2022/02/01 09:58 AM,c1c8428ac3424dd157ef6f3a10d889a97d82d5d4,265cd5b7,1992,9255e82d,5,United States,"$40,000 to $59,999",0,3,50000,265cd5b7,9255e82d
7027818,6,2022-02-01 17:59:17,0.45,rl4pf73,0,"q8q6d40,okhcw2j,79aq97l",6,6,7,Click to finish and give feedback,1,3f66609b,https://app.positly.com/#/f?task_id=3f66609b,34,desktop,female,completedBachelorsDegree,3f66609b,2022/02/01 09:58 AM,d87079f9f1ea4d55991184bb1dee05e9e394b27a,0c0f6dd3,1987,dc715650,5,United States,"$85,000 to $114,999",1,5,100000,0c0f6dd3,dc715650
7027819,6,2022-02-01 17:59:14,0.42,rl4pf73,0,"q8q6d40,okhcw2j,79aq97l",9,9,0,Click to finish and give feedback,1,3f66609b,https://app.positly.com/#/f?task_id=3f66609b,41,desktop,male,completedTradeTechicalVocationalTraing,3f66609b,2022/02/01 09:58 AM,33d2090cce26d5e59e9e42385eb995f2167740fc,8dd42080,1981,2fd90ff1,3,United States,"$60,000 to $84,999",0,4,72500,8dd42080,2fd90ff1
7027821,6,2022-02-01 17:59:34,0.48,rl4pf73,0,"79aq97l,okhcw2j,q8q6d40",8,8,3,Click to finish and give feedback,1,3f66609b,https://app.positly.com/#/f?task_id=3f66609b,44,desktop,male,completedAssociateDegreeOnly,3f66609b,2022/02/01 09:58 AM,3e7338ef137fc15fd2768875dbbf3eb50328d914,afa3cfee,1978,f3680f9b,4,United States,"$60,000 to $84,999",0,4,72500,afa3cfee,f3680f9b
7027822,6,2022-02-01 17:59:35,0.43,rl4pf73,0,"okhcw2j,q8q6d40,79aq97l",0,1,5,Click to finish and give feedback,1,3f66609b,https://app.positly.com/#/f?task_id=3f66609b,40,desktop,male,completedOnlyHighSchoolOrTheEquivalent,3f66609b,2022/02/01 09:58 AM,2bc565b22640be2482837727e7bdfd4a536d279f,44c2fd97,1981,e3b1925f,2,United States,"$10,000 to $24,999",0,1,17500,44c2fd97,e3b1925f
7027824,6,2022-02-01 17:59:53,0.3,rl4pf73,0,"79aq97l,okhcw2j,q8q6d40",9,9,0,Click to finish and give feedback,1,3f66609b,https://app.positly.com/#/f?task_id=3f66609b,34,desktop,male,completedBachelorsDegree,3f66609b,2022/02/01 09:59 AM,fdd11618ef2efff928d9ac3a2f38a80cf07f0d86,3d78a21a,1987,9beadc6e,5,United States,"$60,000 to $84,999",0,4,72500,3d78a21a,9beadc6e
7027825,6,2022-02-01 17:59:54,0.3,rl4pf73,0,"q8q6d40,79aq97l,okhcw2j",5,6,5,Click to finish and give feedback,1,3f66609b,https://app.positly.com/#/f?task_id=3f66609b,20,desktop,male,completedOnlyHighSchoolOrTheEquivalent,3f66609b,2022/02/01 09:59 AM,1b77c9696d6d1ac68a8bdc9d2f0a44eb089212da,18b7b8c3,2001,582db748,2,United States,"Less than $9,999",0,0,4500,18b7b8c3,582db748
7027826,6,2022-02-01 17:59:54,0.28,rl4pf73,0,"okhcw2j,q8q6d40,79aq97l",6,6,4,Click to finish and give feedback,1,3f66609b,https://app.positly.com/#/f?task_id=3f66609b,30,desktop,male,completedOnlyHighSchoolOrTheEquivalent,3f66609b,2022/02/01 09:59 AM,83dc073646d21a86405bb04c9c7932c29e575f59,3e3bb0ff,1991,741e67cd,2,United States,"$40,000 to $59,999",0,3,50000,3e3bb0ff,741e67cd
7027828,6,2022-02-01 18:00:07,0.45,rl4pf73,0,"q8q6d40,79aq97l,okhcw2j",6,6,2,Click to finish and give feedback,1,3f66609b,https://app.positly.com/#/f?task_id=3f66609b,40,desktop,male,completedBachelorsDegree,3f66609b,2022/02/01 09:59 AM,2e98c26a3698da3fce623d6dbee28973d66557c3,db9133b3,1981,7e2e4311,5,United States,"$40,000 to $59,999",0,3,50000,db9133b3,7e2e4311
7027833,6,2022-02-01 18:00:39,0.45,rl4pf73,0,"okhcw2j,q8q6d40,79aq97l",7,6,0,Click to finish and give feedback,1,3f66609b,https://app.positly.com/#/f?task_id=3f66609b,37,desktop,male,completedBachelorsDegree,3f66609b,2022/02/01 09:59 AM,1c4e8860c956fdb13dc4fda9916d9f2eea655c6e,d60be16a,1984,c9ebe6d9,5,United States,"$85,000 to $114,999",0,5,100000,d60be16a,c9ebe6d9
7027834,6,2022-02-01 18:00:39,0.67,rl4pf73,0,"okhcw2j,q8q6d40,79aq97l",8,7,1,Click to finish and give feedback,1,3f66609b,https://app.positly.com/#/f?task_id=3f66609b,28,desktop,female,completedOnlyHighSchoolOrTheEquivalent,3f66609b,2022/02/01 09:58 AM,c2e876be5f1c2a44149ab3be5358dc2153f87557,d0c39179,1994,0154889c,2,United States,"$40,000 to $59,999",1,3,50000,d0c39179,0154889c
7027836,6,2022-02-01 18:00:42,0.28,rl4pf73,0,"q8q6d40,okhcw2j,79aq97l",8,8,0,Click to finish and give feedback,1,3f66609b,https://app.positly.com/#/f?task_id=3f66609b,31,desktop,male,completedBachelorsDegree,3f66609b,2022/02/01 09:58 AM,c7b07680037e6464ff790f5d7d1d9686b69a13b2,de60d293,1991,e44355cd,5,United States,"$85,000 to $114,999",0,5,100000,de60d293,e44355cd
7027838,6,2022-02-01 18:00:47,0.25,rl4pf73,0,"okhcw2j,q8q6d40,79aq97l",10,10,0,Click to finish and give feedback,1,3f66609b,https://app.positly.com/#/f?task_id=3f66609b,23,desktop,male,completedBachelorsDegree,3f66609b,2022/02/01 09:59 AM,376e1ab45639eae81889d28d4b85d74551d006a0,61a777cf,1999,a64fd01c,5,United States,"$150,000 to $199,999",0,7,175000,61a777cf,a64fd01c
7027841,6,2022-02-01 18:01:07,0.3,rl4pf73,0,"79aq97l,okhcw2j,q8q6d40",6,7,1,Click to finish and give feedback,1,3f66609b,https://app.positly.com/#/f?task_id=3f66609b,35,desktop,male,completedBachelorsDegree,3f66609b,2022/02/01 10:00 AM,f1f56a82808eafc975cb76230c3a5a60ca144ef5,da8cbfbd,1986,a5e86394,5,United States,"$60,000 to $84,999",0,4,72500,da8cbfbd,a5e86394
7027843,6,2022-02-01 18:01:14,1.2,rl4pf73,0,"79aq97l,okhcw2j,q8q6d40",7,8,6,Click to finish and give feedback,1,3f66609b,https://app.positly.com/#/f?task_id=3f66609b,38,desktop,female,completedOnlyHighSchoolOrTheEquivalent,3f66609b,2022/02/01 10:00 AM,f6246b171c5c9ae4cccdcfe8ff1d6334821067df,c220a5f5,1983,63caf13f,2,United States,"$40,000 to $59,999",1,3,50000,c220a5f5,63caf13f
7027844,6,2022-02-01 18:01:20,0.82,rl4pf73,0,"q8q6d40,okhcw2j,79aq97l",6,6,3,Click to finish and give feedback,1,3f66609b,https://app.positly.com/#/f?task_id=3f66609b,37,desktop,female,completedOnlyHighSchoolOrTheEquivalent,3f66609b,2022/02/01 09:58 AM,b494c9af66e0c58ac306b3db4fa2c24bb394bba9,a14c6dce,1984,acea8308,2,United States,"$60,000 to $84,999",1,4,72500,a14c6dce,acea8308
7027848,6,2022-02-01 18:01:58,0.43,rl4pf73,0,"q8q6d40,okhcw2j,79aq97l",8,8,5,Click to finish and give feedback,1,3f66609b,https://app.positly.com/#/f?task_id=3f66609b,28,desktop,male,completedBachelorsDegree,3f66609b,2022/02/01 10:01 AM,2b8fbba44074c6c7b78935b8fbd041d9f40bfbb2,6f7132fc,1993,c4f8d9a9,5,United States,"$25,000 to $39,999",0,2,32500,6f7132fc,c4f8d9a9
7027849,6,2022-02-01 18:01:59,0.32,rl4pf73,0,"79aq97l,okhcw2j,q8q6d40",4,4,0,Click to finish and give feedback,1,3f66609b,https://app.positly.com/#/f?task_id=3f66609b,38,desktop,female,completedBachelorsDegree,3f66609b,2022/02/01 09:59 AM,225231a03bbb650e50f01106023b7be25fc97c9a,07b86b5a,1984,df27a2b1,5,United States,"$60,000 to $84,999",1,4,72500,07b86b5a,df27a2b1
7027852,6,2022-02-01 18:02:06,0.23,rl4pf73,0,"q8q6d40,okhcw2j,79aq97l",8,7,0,Click to finish and give feedback,1,3f66609b,https://app.positly.com/#/f?task_id=3f66609b,47,desktop,male,completedBachelorsDegree,3f66609b,2022/02/01 10:01 AM,2ef0d93896eb01012d2cbd6d4cc92cd2e3dc9c72,6660d899,1975,56c587cb,5,United States,"$40,000 to $59,999",0,3,50000,6660d899,56c587cb
7027858,6,2022-02-01 18:02:33,0.45,rl4pf73,0,"q8q6d40,79aq97l,okhcw2j",8,8,1,Click to finish and give feedback,1,3f66609b,https://app.positly.com/#/f?task_id=3f66609b,57,desktop,female,completedBachelorsDegree,3f66609b,2022/02/01 10:01 AM,efe947c92a599c00940a5d4f4c48332d6c53f169,351ca213,1965,54b94d52,5,United States,"$115,000 to $149,999",1,6,132500,351ca213,54b94d52
7027859,6,2022-02-01 18:02:41,0.12,55qcu1j,0,"79aq97l,okhcw2j,q8q6d40",,7,,,,,,37,desktop,female,completedMastersDegree,3f66609b,2022/02/01 10:02 AM,ea4691dfedf1f24e87f010a0bad08291b0afaa62,e7a79a15,1984,177339a3,6,United States,"$60,000 to $84,999",1,4,72500,,
7027860,6,2022-02-01 18:02:47,0.78,rl4pf73,0,"okhcw2j,79aq97l,q8q6d40",7,7,0,Click to finish and give feedback,1,3f66609b,https://app.positly.com/#/f?task_id=3f66609b,52,tablet,female,completedBachelorsDegree,3f66609b,2022/02/01 10:02 AM,f7b71bfcd8fcd16100ad2a641d16aac1bfb3033e,f0d20c3a,1969,e5783149,5,United States,"$25,000 to $39,999",1,2,32500,f0d20c3a,e5783149
7027861,6,2022-02-01 18:02:46,0.33,rl4pf73,0,"79aq97l,okhcw2j,q8q6d40",1,1,5,Click to finish and give feedback,1,3f66609b,https://app.positly.com/#/f?task_id=3f66609b,35,desktop,male,completedBachelorsDegree,3f66609b,2022/02/01 10:02 AM,cbe9d49d5d7dc9a58cc499c19933bb44a9631ed0,234175ef,1987,1efb3e6b,5,United States,"$25,000 to $39,999",0,2,32500,234175ef,1efb3e6b
7027862,6,2022-02-01 18:02:49,0.65,rl4pf73,0,"q8q6d40,okhcw2j,79aq97l",2,3,0,Click to finish and give feedback,1,3f66609b,https://app.positly.com/#/f?task_id=3f66609b,31,desktop,female,completedBachelorsDegree,3f66609b,2022/02/01 10:01 AM,c1f6e90e48790abab62927d837269dd1730b2ef9,d3fc4d13,1990,2600c1a8,5,United States,"$25,000 to $39,999",1,2,32500,d3fc4d13,2600c1a8
7027863,6,2022-02-01 18:03:05,0.47,rl4pf73,0,"okhcw2j,q8q6d40,79aq97l",1,1,6,Click to finish and give feedback,1,3f66609b,https://app.positly.com/#/f?task_id=3f66609b,42,desktop,female,completedOnlyHighSchoolOrTheEquivalent,3f66609b,2022/02/01 10:02 AM,361de7feae17d7e32cdc0a89d3066b95ababf17a,b3a6d36f,1979,aa6f233b,2,United States,"$60,000 to $84,999",1,4,72500,b3a6d36f,aa6f233b
7027868,6,2022-02-01 18:03:22,1.02,rl4pf73,0,"q8q6d40,okhcw2j,79aq97l",1,1,1,Click to finish and give feedback,1,3f66609b,https://app.positly.com/#/f?task_id=3f66609b,25,desktop,male,completedBachelorsDegree,3f66609b,2022/02/01 10:02 AM,1468801426cfecf7cbb18883c6217d7d0fdec57d,af7151bc,1997,c8f7bb5a,5,United States,"$85,000 to $114,999",0,5,100000,af7151bc,c8f7bb5a
7027869,6,2022-02-01 18:03:21,0.43,rl4pf73,0,"79aq97l,q8q6d40,okhcw2j",8,8,3,Click to finish and give feedback,1,3f66609b,https://app.positly.com/#/f?task_id=3f66609b,36,desktop,male,completedProfessionalDegree,3f66609b,2022/02/01 10:03 AM,533b876c0d1f2ed94c61a4ed4fb0cd1b18b76884,f5526413,1986,b91a648a,7,United States,"$115,000 to $149,999",0,6,132500,f5526413,b91a648a
7027870,6,2022-02-01 18:03:26,0.4,rl4pf73,0,"79aq97l,q8q6d40,okhcw2j",5,3,4,Click to finish and give feedback,1,3f66609b,https://app.positly.com/#/f?task_id=3f66609b,47,desktop,male,completedBachelorsDegree,3f66609b,2022/02/01 10:03 AM,83c374a0a4df3c644c758e47c9ee1d0dac9b338c,3ba287e2,1974,0b5ab76d,5,United States,"$60,000 to $84,999",0,4,72500,3ba287e2,0b5ab76d
7027871,6,2022-02-01 18:03:29,0.55,rl4pf73,0,"79aq97l,okhcw2j,q8q6d40",7,6,2,Click to finish and give feedback,1,3f66609b,https://app.positly.com/#/f?task_id=3f66609b,52,desktop,female,completedBachelorsDegree,3f66609b,2022/02/01 10:01 AM,bb34779d68817b168e9748cb87739681e547bcf1,119d736d,1970,0709f72d,5,United States,"$85,000 to $114,999",1,5,100000,119d736d,0709f72d
7027876,6,2022-02-01 18:04:14,0.33,rl4pf73,0,"q8q6d40,79aq97l,okhcw2j",7,7,0,Click to finish and give feedback,1,3f66609b,https://app.positly.com/#/f?task_id=3f66609b,43,desktop,male,completedAssociateDegreeOnly,3f66609b,2022/02/01 10:03 AM,02530a9d0e577e55b1069e4fad7e8447f3923b99,72ab1dd0,1978,f5e5eafc,4,United States,"$10,000 to $24,999",0,1,17500,72ab1dd0,f5e5eafc
7027880,6,2022-02-01 18:04:25,0.3,rl4pf73,0,"okhcw2j,79aq97l,q8q6d40",9,9,1,Click to finish and give feedback,1,3f66609b,https://app.positly.com/#/f?task_id=3f66609b,29,desktop,female,completedOnlyHighSchoolOrTheEquivalent,3f66609b,2022/02/01 10:03 AM,a2ee8d1b9e44a4eb19e6ecb806d8aae7bf03d0bd,c1e480ea,1992,5c68f5eb,2,United States,"$40,000 to $59,999",1,3,50000,c1e480ea,5c68f5eb
7027882,6,2022-02-01 18:04:35,0.5,rl4pf73,0,"okhcw2j,q8q6d40,79aq97l",9,9,2,Click to finish and give feedback,1,3f66609b,https://app.positly.com/#/f?task_id=3f66609b,60,phablet,female,completedBachelorsDegree,3f66609b,2022/02/01 10:03 AM,8be8c6be6da821c1c3ba1da2e9995ee8775b0a1d,c69c5261,1961,79c7c7e5,5,United States,"$115,000 to $149,999",1,6,132500,c69c5261,79c7c7e5
7027888,6,2022-02-01 18:05:18,0.38,rl4pf73,0,"79aq97l,okhcw2j,q8q6d40",5,5,2,Click to finish and give feedback,1,3f66609b,https://app.positly.com/#/f?task_id=3f66609b,31,desktop,female,completedBachelorsDegree,3f66609b,2022/02/01 10:05 AM,82320cf8af8da51e44edc0fdf21f9a49efdeac62,ec9120bb,1990,5277769b,5,United States,"$40,000 to $59,999",1,3,50000,ec9120bb,5277769b
7027890,6,2022-02-01 18:05:27,0.5,rl4pf73,0,"okhcw2j,q8q6d40,79aq97l",1,0,1,Click to finish and give feedback,1,3f66609b,https://app.positly.com/#/f?task_id=3f66609b,27,desktop,female,completedAssociateDegreeOnly,3f66609b,2022/02/01 10:05 AM,ce92d70208fdf312501f467b76c0053a6f716714,9df38516,1994,b38db8a6,4,United States,"$25,000 to $39,999",1,2,32500,9df38516,b38db8a6
7027891,6,2022-02-01 18:05:40,0.45,rl4pf73,0,"okhcw2j,q8q6d40,79aq97l",5,4,0,Click to finish and give feedback,1,3f66609b,https://app.positly.com/#/f?task_id=3f66609b,57,desktop,male,completedOnlyHighSchoolOrTheEquivalent,3f66609b,2022/02/01 10:05 AM,f77e598a478fba979b7852f651c5cf0bd6ea0a81,5229b344,1964,806c6d66,2,United States,"$25,000 to $39,999",0,2,32500,5229b344,806c6d66
7027892,6,2022-02-01 18:05:46,0.93,rl4pf73,0,"q8q6d40,okhcw2j,79aq97l",7,6,1,Click to finish and give feedback,1,3f66609b,https://app.positly.com/#/f?task_id=3f66609b,22,desktop,male,completedBachelorsDegree,3f66609b,2022/02/01 10:05 AM,14f44e7ef18861324783ae87da36b42e5a7b5664,7612b9cc,1999,4478dec2,5,United States,"$200,000 or more",0,8,225000,7612b9cc,4478dec2
7027893,6,2022-02-01 18:05:53,0.38,rl4pf73,0,"79aq97l,q8q6d40,okhcw2j",0,0,4,Click to finish and give feedback,1,3f66609b,https://app.positly.com/#/f?task_id=3f66609b,21,desktop,male,completedOnlyHighSchoolOrTheEquivalent,3f66609b,2022/02/01 10:05 AM,bc37083263973aa4eb5d1baa2705cf4ee7b4b959,00b18781,2000,341957c5,2,United States,"Less than $9,999",0,0,4500,00b18781,341957c5
7027895,6,2022-02-01 18:05:57,0.75,rl4pf73,0,"q8q6d40,okhcw2j,79aq97l",7,7,0,Click to finish and give feedback,1,3f66609b,https://app.positly.com/#/f?task_id=3f66609b,65,desktop,male,completedBachelorsDegree,3f66609b,2022/02/01 10:05 AM,2f68d734c19609702a4fc84549203674ebb96863,2d18d2ae,1957,a07667ee,5,United States,"$115,000 to $149,999",0,6,132500,2d18d2ae,a07667ee
7027897,6,2022-02-01 18:06:01,0.22,rl4pf73,0,"q8q6d40,okhcw2j,79aq97l",7,7,5,Click to finish and give feedback,1,3f66609b,https://app.positly.com/#/f?task_id=3f66609b,38,desktop,male,completedBachelorsDegree,3f66609b,2022/02/01 10:05 AM,f18ced3bd9a5cdaf01efd5a18dd74adb5cef7291,41c6a9b1,1983,5f08191f,5,United States,"$60,000 to $84,999",0,4,72500,41c6a9b1,5f08191f
7027899,6,2022-02-01 18:06:04,0.53,rl4pf73,0,"q8q6d40,okhcw2j,79aq97l",8,8,0,Click to finish and give feedback,1,3f66609b,https://app.positly.com/#/f?task_id=3f66609b,49,desktop,male,completedAssociateDegreeOnly,3f66609b,2022/02/01 10:05 AM,631dc405942bc9b42fe6bd8b3bf49c177d0cd85c,a671ce99,1972,1139647c,4,United States,"$60,000 to $84,999",0,4,72500,a671ce99,1139647c
7027900,6,2022-02-01 18:06:14,0.42,rl4pf73,0,"q8q6d40,79aq97l,okhcw2j",4,5,0,Click to finish and give feedback,1,3f66609b,https://app.positly.com/#/f?task_id=3f66609b,38,desktop,female,completedBachelorsDegree,3f66609b,2022/02/01 10:05 AM,28d0ad77d68498475d438651a1e0671b9225c6d9,3b88530d,1983,a67dc204,5,United States,"$85,000 to $114,999",1,5,100000,3b88530d,a67dc204
7027901,6,2022-02-01 18:06:23,0.57,rl4pf73,0,"q8q6d40,79aq97l,okhcw2j",7,6,3,Click to finish and give feedback,1,3f66609b,https://app.positly.com/#/f?task_id=3f66609b,52,desktop,male,completedTradeTechicalVocationalTraing,3f66609b,2022/02/01 10:05 AM,b61c683209344eb58a779bec30b8fcdf93884db2,d5ed5b08,1969,1131aeaa,3,United States,"$40,000 to $59,999",0,3,50000,d5ed5b08,1131aeaa
7027902,6,2022-02-01 18:06:25,0.13,rl4pf73,0,"okhcw2j,q8q6d40,79aq97l",6,6,5,Click to finish and give feedback,1,3f66609b,https://app.positly.com/#/f?task_id=3f66609b,29,desktop,male,completedProfessionalDegree,3f66609b,2022/02/01 10:06 AM,c1fe29e22794e82117bea0d04491562184e084d2,ef17ff08,1992,070d3a6f,7,United States,"$85,000 to $114,999",0,5,100000,ef17ff08,070d3a6f
7027903,6,2022-02-01 18:06:27,0.8,rl4pf73,0,"okhcw2j,79aq97l,q8q6d40",4,4,1,Click to finish and give feedback,1,3f66609b,https://app.positly.com/#/f?task_id=3f66609b,52,desktop,female,completedTradeTechicalVocationalTraing,3f66609b,2022/02/01 10:05 AM,2957497b4ce26d91a97e840b542f667e969577d6,ed105f73,1969,197d1499,3,United States,"$60,000 to $84,999",1,4,72500,ed105f73,197d1499
